SN,true_label,prediction,modality,kfold_of_pred
ZTF21aayqrgx_0,0,0.0,lightcurve,4
ZTF21aayqrgx_0,0,0.0,spectral,4
ZTF21aayqrgx_0,0,0.0,lightcurveandspectral,4
ZTF21abahiow_0,0,0.0,lightcurve,4
ZTF21abahiow_0,0,0.0,spectral,4
ZTF21abahiow_0,0,0.0,lightcurveandspectral,4
ZTF21abcrhpk_0,0,0.0,lightcurve,4
ZTF21abcrhpk_0,0,1.0,spectral,4
ZTF21abcrhpk_0,0,0.0,lightcurveandspectral,4
ZTF21abimeun_0,0,0.0,lightcurve,4
ZTF21abimeun_0,0,1.0,spectral,4
ZTF21abimeun_0,0,0.0,lightcurveandspectral,4
ZTF21abqvzjy_0,0,0.0,lightcurve,4
ZTF21abqvzjy_0,0,0.0,spectral,4
ZTF21abqvzjy_0,0,0.0,lightcurveandspectral,4
ZTF21abrfvax_0,0,0.0,lightcurve,4
ZTF21abrfvax_0,0,1.0,spectral,4
ZTF21abrfvax_0,0,0.0,lightcurveandspectral,4
ZTF21abrqrsz_0,0,0.0,lightcurve,4
ZTF21abrqrsz_0,0,0.0,spectral,4
ZTF21abrqrsz_0,0,0.0,lightcurveandspectral,4
ZTF21acdxhuv_0,0,0.0,lightcurve,4
ZTF21acdxhuv_0,0,1.0,spectral,4
ZTF21acdxhuv_0,0,0.0,lightcurveandspectral,4
ZTF22aagzmcz_0,0,1.0,lightcurve,4
ZTF22aagzmcz_0,0,0.0,spectral,4
ZTF22aagzmcz_0,0,1.0,lightcurveandspectral,4
ZTF22aalfmec_0,0,0.0,lightcurve,4
ZTF22aalfmec_0,0,0.0,spectral,4
ZTF22aalfmec_0,0,0.0,lightcurveandspectral,4
ZTF22aaoolua_0,0,0.0,lightcurve,4
ZTF22aaoolua_0,0,0.0,spectral,4
ZTF22aaoolua_0,0,0.0,lightcurveandspectral,4
ZTF22aasxgjp_0,1,0.0,lightcurve,4
ZTF22aasxgjp_0,1,1.0,spectral,4
ZTF22aasxgjp_0,1,0.0,lightcurveandspectral,4
ZTF22aasxgjp_1,1,0.0,lightcurve,4
ZTF22aasxgjp_1,1,1.0,spectral,4
ZTF22aasxgjp_1,1,1.0,lightcurveandspectral,4
ZTF22aasxgjp_2,1,0.0,lightcurve,4
ZTF22aasxgjp_2,1,1.0,spectral,4
ZTF22aasxgjp_2,1,0.0,lightcurveandspectral,4
ZTF22aasxgjp_3,1,0.0,lightcurve,4
ZTF22aasxgjp_3,1,0.0,spectral,4
ZTF22aasxgjp_3,1,0.0,lightcurveandspectral,4
ZTF22aasxgjp_4,1,0.0,lightcurve,4
ZTF22aasxgjp_4,1,1.0,spectral,4
ZTF22aasxgjp_4,1,0.0,lightcurveandspectral,4
ZTF22aasxgjp_5,1,0.0,lightcurve,4
ZTF22aasxgjp_5,1,1.0,spectral,4
ZTF22aasxgjp_5,1,0.0,lightcurveandspectral,4
ZTF22aatunnt_0,0,0.0,lightcurve,4
ZTF22aatunnt_0,0,0.0,spectral,4
ZTF22aatunnt_0,0,0.0,lightcurveandspectral,4
ZTF22aaxtias_0,0,0.0,lightcurve,4
ZTF22aaxtias_0,0,0.0,spectral,4
ZTF22aaxtias_0,0,0.0,lightcurveandspectral,4
