SN,true_label,prediction,modality,kfold_of_pred
ZTF21gnos13x_0,1,1.0,lightcurveandspectral,1
ZTF21gnos14x_0,1,1.0,lightcurve,1
ZTF21gnos14x_0,1,1.0,spectral,1
ZTF21gnos14x_0,1,1.0,lightcurveandspectral,1
ZTF21gnos20x_0,1,1.0,lightcurve,1
ZTF21gnos20x_0,1,1.0,spectral,1
ZTF21gnos20x_0,1,1.0,lightcurveandspectral,1
ZTF21gnos24x_0,1,1.0,lightcurve,1
ZTF21gnos24x_0,1,1.0,spectral,1
ZTF21gnos24x_0,1,1.0,lightcurveandspectral,1
ZTF21gnos27x_0,1,1.0,lightcurve,1
ZTF21gnos27x_0,1,1.0,spectral,1
ZTF21gnos27x_0,1,1.0,lightcurveandspectral,1
ZTF21pbs08xx_0,1,1.0,lightcurve,1
ZTF21pbs08xx_0,1,1.0,spectral,1
ZTF21pbs08xx_0,1,1.0,lightcurveandspectral,1
ZTF21pbs22xx_0,1,1.0,lightcurve,1
ZTF21pbs22xx_0,1,1.0,spectral,1
ZTF21pbs22xx_0,1,1.0,lightcurveandspectral,1
ZTF22aafrjnw_0,1,0.0,lightcurve,1
ZTF22aafrjnw_0,1,1.0,spectral,1
ZTF22aafrjnw_0,1,1.0,lightcurveandspectral,1
ZTF22aafrjnw_1,1,0.0,lightcurve,1
ZTF22aafrjnw_1,1,1.0,spectral,1
ZTF22aafrjnw_1,1,1.0,lightcurveandspectral,1
ZTF22aagzmcz_0,0,1.0,lightcurve,1
ZTF22aagzmcz_0,0,0.0,spectral,1
ZTF22aagzmcz_0,0,0.0,lightcurveandspectral,1
ZTF22aasxgjp_0,0,0.0,lightcurve,1
ZTF22aasxgjp_0,0,0.0,spectral,1
ZTF22aasxgjp_0,0,0.0,lightcurveandspectral,1
ZTF22aasxgjp_1,0,0.0,lightcurve,1
ZTF22aasxgjp_1,0,0.0,spectral,1
ZTF22aasxgjp_1,0,0.0,lightcurveandspectral,1
ZTF22aasxgjp_2,0,0.0,lightcurve,1
ZTF22aasxgjp_2,0,0.0,spectral,1
ZTF22aasxgjp_2,0,0.0,lightcurveandspectral,1
ZTF22aatunnt_0,0,0.0,lightcurve,1
ZTF22aatunnt_0,0,0.0,spectral,1
